,T_CD4,T_CD8,T_reg,mDC,mono-mac,myeloid,pDC,plasma,tumour_1,tumour_2
207,0.13742149,0.11781508,0.08851731,0.10348564,0.1002458,0.07284307,0.1036315,0.092813715,0.11086706,0.07235936
208,0.13763681,0.11807457,0.08831078,0.10339485,0.100187555,0.07298717,0.10355864,0.09308732,0.110764995,0.07199729
209,0.13765568,0.117800936,0.08844898,0.1035983,0.0997795,0.07286764,0.10334469,0.093331106,0.1108804,0.07229277
210,0.13771623,0.1180742,0.088374354,0.10328755,0.10026424,0.07291675,0.10350379,0.09303992,0.11084182,0.071981154
211,0.13763207,0.118057765,0.088259846,0.10355558,0.10015765,0.07301345,0.10358207,0.093145296,0.11064883,0.07194751
212,0.13756098,0.11813498,0.08824896,0.10334907,0.10023052,0.072999805,0.10367426,0.09309963,0.110730484,0.071971335
213,0.13759087,0.11811547,0.088246465,0.103407815,0.100162536,0.072991125,0.10361487,0.09317294,0.1107109,0.071986936
214,0.13764967,0.11809463,0.08828671,0.10331252,0.1002435,0.07297617,0.103651814,0.0930204,0.11079381,0.071970776
215,0.13770418,0.118065335,0.08837346,0.10324035,0.100281365,0.0729265,0.103605315,0.09293566,0.110873714,0.071994044
216,0.13732234,0.11803448,0.087959334,0.103752434,0.099809915,0.07342464,0.10336483,0.093458064,0.11048662,0.072387464
217,0.13772635,0.11801549,0.08811831,0.10358486,0.10003773,0.07311975,0.10350641,0.09332179,0.110507295,0.0720621
218,0.13750644,0.11823049,0.08826743,0.10319605,0.10050985,0.07290099,0.10378933,0.0930642,0.11064793,0.07188729
219,0.13769731,0.1181039,0.0883513,0.10326446,0.100212924,0.0729487,0.10359648,0.09299602,0.1108495,0.071979426
