,meanscell_abundance_w_sf_Adipocyte,meanscell_abundance_w_sf_Atrial Cardiomyocyte,meanscell_abundance_w_sf_Endothelial cell,meanscell_abundance_w_sf_Fibroblast,meanscell_abundance_w_sf_Lymphatic Endothelial cell,meanscell_abundance_w_sf_Lymphoid,meanscell_abundance_w_sf_Mast cell,meanscell_abundance_w_sf_Mesothelial cell,meanscell_abundance_w_sf_Mural cell,meanscell_abundance_w_sf_Myeloid,meanscell_abundance_w_sf_Neural cell,meanscell_abundance_w_sf_Ventricular Cardiomyocyte
37,0.021371637,0.0057093715,0.12566087,0.059685964,0.04614426,0.96574754,4.546809,0.32327867,2.8293955,0.13796405,0.04952928,0.004318151
38,0.010212092,0.005987068,0.08706372,0.027087756,0.023175508,0.36494726,1.2776091,0.37076572,3.906329,0.033164535,0.02724559,0.003465735
39,0.06261969,0.017462261,0.09056404,0.052093565,0.06866374,1.180639,7.5767975,4.0240893,2.4604828,0.1616064,0.050828174,0.015831381
40,0.025340704,0.007804987,0.11545126,0.076283306,0.043510884,0.5233834,4.3170767,2.1915176,3.8566704,0.11517669,0.046686795,0.006670372
41,0.02904498,1.3433608,0.074338034,0.04907225,0.03360894,1.1382586,0.030355712,17.253975,1.4521481,0.121677764,0.08317076,0.36566636
42,0.2556586,0.025248732,0.1084025,0.06810327,0.031459104,0.40022245,7.1143208,0.037609875,1.6255484,0.08850431,0.06588658,0.10289722
43,0.010045386,0.003303572,0.040154357,0.019452278,0.017443953,0.35589147,2.8956091,1.174467,0.051178742,0.045451827,0.012182245,0.0025053185
44,0.007455053,0.3948668,0.026714547,0.012574868,0.015599578,0.64497304,0.018844187,13.303477,0.029187517,0.06262815,0.016665105,0.53801113
45,0.008861893,0.003645829,0.035928875,0.018536964,0.02919248,0.7561697,1.7704815,2.270301,0.05424318,0.07965552,0.05103777,0.0018315671
46,0.058216408,0.010073587,0.09671501,0.04861475,0.058931403,0.6486542,7.7760253,2.4218097,0.21310183,0.15880132,0.04858494,0.00828658
47,0.028671447,0.0077833547,0.056014158,0.096233316,0.045436405,0.24797532,2.5294406,0.42836204,5.0115666,0.04448952,0.0413428,0.004551999
48,0.02269798,0.004549393,0.10663961,0.09216691,0.06920031,2.2058434,8.04059,3.4892602,1.404212,0.33061865,0.10394517,0.0031143907
49,0.017322792,0.0061439252,0.12923566,0.051150125,0.053158652,2.546815,9.033176,4.587607,0.2619649,0.2611632,0.07223433,0.004627214
50,0.0097470675,0.0044597294,0.0645866,0.020786183,0.026816873,1.8802607,5.9828777,2.7436357,0.048589464,0.20102628,0.0357631,0.002199593
51,0.042192418,0.0060013365,0.1330163,0.057467524,0.0629041,0.9932656,8.142431,3.8652706,4.9019847,0.18754426,0.0638518,0.0066260183
52,0.012113548,0.0066591417,0.051774003,0.031016085,0.019904424,0.3447368,9.13896,0.018024331,0.08152594,0.09145708,0.022951892,0.0037565005
53,0.0109739145,0.0047899615,0.108325854,0.024819741,0.052868996,5.555799,4.6514626,14.868424,0.041100774,0.8563045,0.046629913,0.002130718
54,0.016428681,0.0050589694,0.14447132,0.045429748,0.04204764,2.5963435,4.86755,8.543035,2.0731838,0.2616176,0.08347321,0.003473777
